2026-06-12 18:23:49 - INFO: Transfer started: Session started successfully.
2026-06-12 18:23:49 - ERROR: Sample received: Validation error: Drone flight time is not within valid range!
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - ERROR: Sample received: Validation error: Wind angle value must be between 0 and 360!
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - ERROR: Sample received: Validation error: Wind speed value must be above 0!
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - ERROR: Sample received: Validation error: Linear acceleration Z value exceeds the limit!
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - ERROR: Sample received: Validation error: Linear acceleration X value exceeds the limit!
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:49 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:50 - ERROR: Sample received: Validation error: Linear acceleration Y value exceeds the limit!
2026-06-12 18:23:50 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:50 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:50 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:50 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:50 - INFO: Sample received: Sample pushed successfully.
2026-06-12 18:23:50 - INFO: Sample received: Sample pushed successfully.
